TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
530609923.0,2.106215e-08,0.5321322,-0.006208651,-0.00673488
530611000.0,2.268372e-08,0.5592295,-0.02527165,-0.01242882
530612014.0,2.554239e-08,0.5470879,0.004441984,0.001055084
530613093.0,2.158395e-08,0.4502763,0.03544653,0.004399031
530614108.0,2.02311e-08,0.3911343,0.01231492,-0.004821669
530615124.0,2.090064e-08,0.4215309,0.01541079,0.02008063
530616205.0,2.301562e-08,0.435641,-0.02651762,0.02253756
530617220.0,1.952793e-08,0.3261126,0.05816067,-0.01998737
530618237.0,1.933899e-08,0.3178705,0.04864968,-0.01578243
530619321.0,2.187179e-08,0.2830153,0.03950203,0.03696579
530620336.0,2.998125e-08,0.24923,0.06002117,0.09812518
530621419.0,2.853594e-08,0.1973347,0.1262732,0.01272697
530622435.0,2.719091e-08,0.1998189,0.3133647,-0.1607667
530623522.0,3.701895e-08,0.1943946,0.6044986,-0.3360132
530624540.0,2.389596e-08,0.2002852,-0.008364193,-0.1026352
530625559.0,2.438344e-08,0.252234,-0.05423641,-0.001490512
530626578.0,2.490193e-08,0.3117392,-0.05210542,0.001058101
530627663.0,2.325453e-08,0.2878054,-0.06741046,0.01136521
530628682.0,2.29614e-08,0.2711744,-0.1221006,-0.08018033
530629701.0,2.755647e-08,0.3050176,-0.1406709,-0.1486312
530630789.0,5.672323e-08,0.3869791,-0.340285,-0.3646445
530631809.0,2.658023e-08,0.2355033,-0.08763838,-0.04069657
530632828.0,2.681486e-08,0.2315589,0.00219632,-0.04176233
530633915.0,2.890247e-08,0.2110468,0.06224145,-0.0363515
530634980.0,3.376808e-08,0.2645339,0.02033902,0.06687394
530636053.0,3.698693e-08,0.2516435,-0.02182769,0.1144375
530637062.0,4.576312e-08,0.2906395,-0.02106761,0.3127124
530638127.0,3.879802e-08,0.3779928,-0.06082868,0.02442404
530639125.0,4.799891e-08,0.4967285,-0.05235302,0.03456438
530640211.0,8.170176e-08,0.4852179,-0.1155031,-0.09028524
530641232.0,4.499186e-08,0.4029577,-0.03694689,0.02371712
530642315.0,4.519136e-08,0.4228099,-0.02314829,-0.0008126263
530643331.0,4.836776e-08,0.4413929,-0.0007595942,0.002099913
530644418.0,5.76096e-08,0.4662467,-0.003943078,0.0002756952
530645435.0,7.496587e-08,0.5030587,0.03012157,0.03449002
530646520.0,1.38826e-07,0.5455085,0.1159548,-0.08052428
530647436.0,3.52698e-07,0.6551583,-0.001029603,0.007891519
530648491.0,9.714266e-07,0.5681468,0.1277067,0.01766184
530649712.0,1.742217e-07,0.8282243,-0.003134482,0.008932442
530650699.0,1.137772e-07,0.6743591,0.002246268,0.0008247403
530651749.0,1.078903e-07,0.6747329,-0.004584305,-0.004998252
530652764.0,1.137239e-07,0.6778758,-0.01507568,0.002176315
530653846.0,1.688174e-07,0.5246675,-0.1820275,0.1462363
530654894.0,2.329329e-07,0.7623146,-0.006251686,0.02014832
530655907.0,4.21882e-07,0.8094035,0.01662887,0.04797906
530656987.0,3.365568e-06,1.081171,-0.1551387,0.2251289
530658034.0,5.505371e-07,0.8369857,-0.01613676,0.005852922
530659115.0,4.239846e-07,0.823905,-0.01382338,-0.0098956
530660192.0,3.666144e-07,0.8155145,-0.004886143,-0.02017126
530661205.0,3.06426e-07,0.7884349,-0.005932085,-0.03086382
530662218.0,2.654994e-07,0.7459228,-0.008340232,-0.02233873
530663331.0,2.640235e-07,0.722883,-0.02168047,-0.009099952
530664210.0,3.138671e-07,0.7701422,-0.01531302,-0.007887402
530665359.0,4.470038e-07,0.8538526,-0.01166736,0.002395679
530666405.0,6.203847e-07,0.892251,-0.009081,0.004970115
530667351.0,8.645644e-07,0.9245512,-0.01142072,0.001478416
530668533.0,1.367494e-06,0.9340772,-0.005444519,0.008474998
530669545.0,2.725585e-06,0.9951728,-0.0120021,0.02949386
530670591.0,7.705635e-06,0.9645892,-0.003782027,-0.005036879
530671503.0,0.0002839576,0.5330132,-0.264474,-0.0431863
530672682.0,2.060467e-06,1.009237,0.0828159,0.03132808
530686471.0,2.14113e-08,0.5559231,-0.004158013,-0.003019222
530687485.0,2.439013e-08,0.5750802,-0.01939797,-0.01732677
530688568.0,2.190531e-08,0.4869751,-0.01136922,-0.008348709
530689584.0,2.098455e-08,0.4398712,0.04557468,-0.00249735
530690604.0,2.080943e-08,0.4197204,-0.002997391,0.01638042
530691692.0,2.248723e-08,0.4489719,0.01118828,0.04145417
530692777.0,2.36221e-08,0.4484531,-0.0119549,0.02571479
530693798.0,1.937943e-08,0.3123192,0.04442335,-0.02096027
530694817.0,2.044271e-08,0.3162417,0.0690713,0.004439217
530695904.0,2.324136e-08,0.286136,0.06420363,0.03355989
530696924.0,3.822271e-08,0.2166515,-0.05666184,0.05250146
530698013.0,2.458323e-08,0.1585482,0.1961435,-0.03099501
530699031.0,3.017485e-08,0.1719468,0.5634129,-0.3013509
530700053.0,2.866226e-08,0.09987906,0.2819116,-0.2832971
530701128.0,2.356343e-08,0.191739,0.007337936,-0.08056319
530702194.0,2.437439e-08,0.2459826,-0.06119012,-0.002686573
530703193.0,2.73921e-08,0.3411402,-0.07978034,0.05148264
530704259.0,2.248688e-08,0.2589619,-0.06202328,0.0306454
530705324.0,2.330411e-08,0.2685003,-0.1474158,-0.07747853
530706323.0,3.038899e-08,0.3127308,-0.1803234,-0.2374618
530707388.0,5.18301e-08,0.327232,-0.4500667,-0.4357353
530708388.0,2.642795e-08,0.2398456,-0.1006317,-0.04548904
530709452.0,2.722204e-08,0.2036137,0.00272847,-0.04177358
530710515.0,2.870943e-08,0.2007052,0.08307816,-0.005777792
530711513.0,3.39737e-08,0.2456159,0.03510798,0.04561046
530712575.0,3.852466e-08,0.2521943,0.02266599,0.1544876
530713639.0,3.924742e-08,0.2862786,-0.07165002,0.1528343
530714637.0,3.961458e-08,0.3988361,-0.04246497,0.02971478
530715633.0,5.414704e-08,0.5218048,-0.05921387,0.02087757
530716698.0,5.898625e-08,0.3828884,-0.08693718,-0.0586934
530717762.0,4.496713e-08,0.3945866,-0.03086686,0.02314796
530718825.0,4.54319e-08,0.4200196,-0.0002208874,-0.02325375
530719824.0,4.989857e-08,0.4313664,-0.01630651,-0.00924356
530720889.0,5.956042e-08,0.4604006,0.002972253,-0.01284395
