TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
578265073.0,2.347419e-08,0.1498889,1.408946,-0.2163778
578266158.0,2.545983e-08,0.1845847,-1.500224,-0.2596128
578267244.0,3.276105e-08,0.2808192,-1.484776,-0.3580093
578268252.0,3.299493e-08,0.3264989,-1.545257,-0.0128987
578269270.0,3.93941e-08,0.4750424,1.48907,0.1344234
578270361.0,3.846317e-08,0.5349731,1.401192,0.2020032
578271364.0,4.462894e-08,0.5963153,1.488621,0.2557011
578272430.0,3.138196e-08,0.4504604,1.490018,0.2637065
578273430.0,2.711256e-08,0.359011,1.506347,0.2013106
578274499.0,2.994957e-08,0.336622,-1.518071,0.1770563
578275497.0,3.648296e-08,0.3333115,-1.341932,0.1670613
578276567.0,4.672726e-08,0.2931066,-1.281343,0.1236719
578277586.0,3.056472e-08,0.3594086,-1.449529,0.1637408
578278608.0,3.644149e-08,0.3588849,-1.342309,0.1931034
578279626.0,2.987304e-08,0.3628065,-1.506266,0.2489855
578280645.0,3.110311e-08,0.4094252,1.556743,0.2821058
578281716.0,3.117757e-08,0.4152461,1.523418,0.2939257
578282790.0,3.607234e-08,0.4427121,1.514137,0.2008643
578283787.0,3.218438e-08,0.4193781,-1.43561,0.1157877
578284862.0,3.713441e-08,0.4566837,-1.287826,0.05239491
578285946.0,5.58782e-08,0.495941,-1.115524,-0.0351262
578286964.0,4.005488e-08,0.4471964,-1.294352,0.1085145
578287985.0,4.052498e-08,0.5264359,-1.291085,0.07754623
578289073.0,3.829989e-08,0.5210439,-1.281945,0.135086
578290094.0,4.299902e-08,0.5126433,-1.287017,0.1081934
578291180.0,4.88246e-08,0.5175293,-1.288369,0.08288151
578292270.0,8.081855e-08,0.6084949,-1.392092,-0.07687726
578293290.0,6.193725e-08,0.6473851,-1.21981,0.09309366
578294312.0,7.863625e-08,0.7147072,-1.185708,0.1180843
578295319.0,1.495106e-07,0.7906087,-1.104009,0.09084866
578296453.0,7.133959e-08,0.6292079,-1.151167,0.1618123
578297455.0,6.548045e-08,0.6148383,-1.132122,0.183033
578298527.0,6.252339e-08,0.5872638,-1.106512,0.226289
578299533.0,6.859723e-08,0.5997583,-1.078155,0.2472616
578300606.0,8.362179e-08,0.5915241,-1.086599,0.2720749
578301646.0,4.482861e-07,0.6962778,-1.296779,0.2900705
