TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
568733812.0,2.22724e-08,0.1289981,-1.312044,0.2819026
568734901.0,2.424809e-08,0.149995,-1.497092,0.3237379
568735919.0,2.926248e-08,0.2352706,1.503233,0.3515056
568737003.0,3.097587e-08,0.2780664,1.500307,0.003729278
568738019.0,3.657102e-08,0.4738935,-1.50914,-0.07317518
568739034.0,3.527316e-08,0.516773,-1.403472,-0.1770392
568740119.0,3.850346e-08,0.5685731,-1.474531,-0.2589629
568741135.0,3.076417e-08,0.4678179,-1.492361,-0.250633
568742152.0,2.635498e-08,0.374148,-1.501565,-0.2071119
568743234.0,2.757607e-08,0.357934,1.521376,-0.1567663
568744251.0,3.412452e-08,0.3845729,1.463624,-0.06226661
568745267.0,5.018738e-08,0.2907613,1.413829,-0.05553723
568746348.0,3.482676e-08,0.4243132,1.392531,-0.1361408
568747362.0,5.211434e-08,0.5666837,1.254385,-0.1504718
568748378.0,3.173895e-08,0.4149148,1.419578,-0.2330922
568749461.0,3.007661e-08,0.4031137,1.553364,-0.2431889
568750541.0,3.117442e-08,0.425207,-1.495565,-0.281085
568751556.0,3.644465e-08,0.4644969,-1.431373,-0.2418945
568752569.0,3.018915e-08,0.4125558,1.517298,-0.1670074
568753585.0,3.375848e-08,0.4668184,1.374401,-0.1296576
568754670.0,4.512553e-08,0.4689279,1.322934,-0.2158378
568755686.0,3.954576e-08,0.400617,1.435658,-0.1770138
568756769.0,3.681452e-08,0.4765407,1.325754,-0.08698178
568757853.0,3.655367e-08,0.5051841,1.262716,-0.1403925
568758867.0,3.956127e-08,0.4986285,1.207753,-0.1087197
568759946.0,4.717648e-08,0.5015658,1.264913,-0.0816278
568761024.0,8.518178e-08,0.6612382,1.400962,0.1033592
568762040.0,5.730964e-08,0.6292869,1.207186,-0.1045013
568763118.0,7.034189e-08,0.6873376,1.173073,-0.1292363
568764132.0,1.289183e-07,0.7518391,1.050508,-0.1146806
568765146.0,6.575705e-08,0.6214569,1.145644,-0.1859145
568766230.0,6.108447e-08,0.6064564,1.129793,-0.2152009
568767242.0,6.222113e-08,0.6206065,1.097563,-0.2422007
568768255.0,6.60513e-08,0.6023371,1.080796,-0.2454214
