TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
540145954.0,2.850942e-08,0.6626535,-1.556882,0.002681351
540147027.0,3.537988e-08,0.6919384,1.558901,-0.01550967
540148045.0,4.110528e-08,0.7165067,1.563161,9.563618e-05
540149064.0,4.819004e-08,0.7729999,-1.561428,0.009665652
540150136.0,5.025195e-08,0.7844106,1.568055,0.009772736
540151144.0,6.005759e-08,0.8213744,-1.569221,0.002792806
540152164.0,3.520306e-08,0.7226485,-1.559951,0.0084168
540153248.0,3.068515e-08,0.6817554,-1.56657,0.005577226
540154247.0,3.366098e-08,0.6789291,-1.558871,0.001094502
540155376.0,4.329841e-08,0.6446586,-1.525243,0.002267389
540156374.0,4.822403e-08,0.5715031,-1.517226,0.01283077
540157457.0,3.825365e-08,0.6905852,1.554002,0.009092292
540158456.0,4.370346e-08,0.7382568,1.523241,0.02393963
540159518.0,3.293888e-08,0.697285,1.556446,0.007891923
540160591.0,3.405628e-08,0.7205048,1.56402,0.01306934
540161607.0,3.646887e-08,0.7424217,-1.564756,-0.008123576
540162693.0,3.997299e-08,0.7655285,-1.558432,-0.01319998
540163775.0,3.689737e-08,0.7415164,-1.567218,-0.008635538
540164788.0,4.274522e-08,0.7634182,-1.554973,-0.0200182
540165870.0,6.431273e-08,0.7057718,-1.482414,-0.06312014
540166952.0,4.402035e-08,0.7034048,-1.551064,-0.006361301
540167968.0,4.399034e-08,0.7530613,-1.558885,0.00948939
540169049.0,4.403928e-08,0.7586113,1.566715,0.002072501
540170063.0,4.905199e-08,0.7750761,1.55597,-0.01082949
540171077.0,5.764032e-08,0.8003599,1.565149,-0.01087559
540172091.0,1.39962e-07,0.9098486,1.549241,-0.006255903
540173172.0,7.534234e-08,0.8389634,1.563313,-0.01230237
540174255.0,1.001867e-07,0.8579096,-1.56272,-0.004301531
540175270.0,1.802473e-07,0.8389074,-1.559104,-0.004360002
540176352.0,7.995492e-08,0.788384,-1.566738,-0.008350707
540177366.0,7.545331e-08,0.7737749,1.568453,-0.01479207
540178450.0,7.058805e-08,0.7496344,1.557816,-0.008318288
540179463.0,7.843358e-08,0.7486909,1.560685,0.0002621886
540180543.0,9.799866e-08,0.7576028,1.547707,-0.01576343
540181558.0,5.156022e-07,0.9458558,-1.570317,0.01194187
540182608.0,2.130228e-07,0.8601518,1.564184,-0.01905878
540183625.0,5.424734e-07,0.9352646,1.566938,-0.01178695
540184674.0,4.510639e-07,0.9495506,1.569063,-0.01357337
540185689.0,1.793569e-07,0.8665566,1.558931,-0.005970894
540186768.0,1.541355e-07,0.852126,1.566063,-0.01322605
540187781.0,1.409377e-07,0.818931,1.567898,-0.005819479
540188863.0,1.515797e-07,0.813752,1.564038,-0.0168227
540189946.0,1.992378e-07,0.8319869,1.562377,-0.02221119
540190896.0,3.562622e-07,0.8816346,1.559264,-0.04170183
540192046.0,4.43564e-06,0.9847822,-1.540179,-0.03943462
540193059.0,7.207273e-07,0.925625,1.561332,-0.01779705
540194112.0,3.582886e-07,0.8707554,1.506859,-0.03248173
540195128.0,3.568365e-07,0.8591492,1.547747,0.0005861988
540196212.0,2.678929e-07,0.8131227,1.5385,0.005576823
540197297.0,2.140755e-07,0.754988,1.536633,0.01430994
540198348.0,1.842342e-07,0.709522,1.532078,0.003011673
540199434.0,1.815898e-07,0.7003035,1.53282,0.008974384
540200455.0,1.985271e-07,0.6963092,1.533187,-0.006189881
540201373.0,5.980028e-07,0.7408619,1.551754,-0.01089276
540202513.0,3.659078e-07,0.8291412,1.550662,-0.01336042
540203580.0,4.988913e-07,0.85941,1.54402,-0.01321598
540204515.0,8.127898e-07,0.8980184,1.544716,-0.008867386
540205685.0,2.498331e-06,0.9305168,1.535204,-0.009014652
540206622.0,5.059989e-05,0.3667196,1.543384,-0.002612688
540207694.0,1.293051e-06,0.9009046,1.543823,-0.01507847
540208830.0,5.651082e-07,0.8376312,1.540878,-0.0143164
540222590.0,3.189794e-08,0.6607016,-1.559272,-0.003974991
540223655.0,3.394863e-08,0.6766435,1.567339,-0.009695992
540224653.0,4.395352e-08,0.7473091,1.564718,0.008256641
540225726.0,4.789727e-08,0.7691282,-1.559435,0.008933336
540226792.0,5.196333e-08,0.7956161,1.568173,0.003929594
540227858.0,5.884394e-08,0.821364,-1.566988,-0.0008479672
540228923.0,3.148058e-08,0.6755111,-1.564433,0.001851982
540229929.0,3.065302e-08,0.6664948,-1.563807,0.01347221
540231017.0,3.164928e-08,0.6482787,-1.568322,-4.543811e-05
540232034.0,4.06825e-08,0.5687579,-1.544461,0.001552493
540233047.0,3.877906e-08,0.6100539,-1.565724,0.0055903
540234110.0,4.049181e-08,0.6960127,1.543716,0.01860354
540235107.0,4.053972e-08,0.7074638,1.50325,0.02222704
540236173.0,3.174539e-08,0.6850878,1.550921,0.01875762
540237171.0,3.331815e-08,0.7029572,1.564731,0.001420364
