TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
749841889.0,3.701064e-08,0.2151691,-1.45864,0.3663353
749842689.0,4.09852e-08,0.2154779,-1.429262,0.2759718
749843489.0,4.139251e-08,0.1905057,-1.330642,0.5105063
749844290.0,4.211474e-08,0.231141,-1.48785,0.3424674
749845021.0,4.117479e-08,0.2066885,1.513985,0.1156379
749845827.0,4.65605e-08,0.2540182,1.451232,0.1678068
749846631.0,5.267793e-08,0.3297482,-1.40848,0.1671454
749847430.0,5.220647e-08,0.4500372,-1.416493,0.2056125
749848164.0,5.558911e-08,0.5117842,-1.408534,0.1329461
749848962.0,7.509348e-08,0.6421237,-1.400862,0.2161378
749849696.0,8.747768e-08,0.6772986,-1.417046,0.2157878
749850494.0,1.164486e-07,0.7648527,-1.320702,0.2093939
749851310.0,1.356263e-07,0.7813115,-1.319798,0.180475
749852107.0,1.436267e-07,0.8139699,-1.335138,0.1516988
749852738.0,4.208163e-07,0.8379794,-1.294804,0.1621813
749853634.0,7.32594e-08,0.5641934,-1.255018,0.1465612
749854432.0,5.378467e-08,0.4308954,-1.220655,0.1912744
749855230.0,4.944689e-08,0.4180599,-1.113605,0.226321
749856028.0,4.86666e-08,0.3581121,-1.132402,0.210554
749856760.0,5.089294e-08,0.2916917,-1.093958,0.2307091
749857558.0,5.248853e-08,0.2427215,-1.124788,0.08729978
749858290.0,5.759567e-08,0.3036577,-0.9777138,-0.05410991
749859088.0,8.997162e-08,0.4932684,-0.8026673,-0.04006574
749859788.0,4.155231e-07,0.7224099,-0.7837183,-0.03007894
749860623.0,5.735417e-08,0.3620793,-1.196081,0.07363787
749861421.0,5.230214e-08,0.3672362,-1.289698,-0.02288864
749862221.0,5.295e-08,0.3547445,-1.258791,-0.01448036
749863034.0,5.796588e-08,0.3689698,-1.278772,-0.02868658
749863784.0,5.722451e-08,0.3618403,-1.333193,-0.01573623
749864532.0,5.186827e-08,0.386933,-1.239692,0.02495407
749865337.0,5.357505e-08,0.3803984,-1.202934,-0.02115996
