TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
735806224.0,3.638253e-08,0.2510798,1.156296,-0.5112074
735807026.0,4.06036e-08,0.3208212,1.186987,-0.4792059
735807829.0,4.255269e-08,0.2573892,1.522097,-0.4829089
735808632.0,4.208218e-08,0.2811239,-1.495842,-0.4318134
735809369.0,3.719968e-08,0.2811604,1.490581,-0.2915891
735810170.0,4.613487e-08,0.3697758,1.516675,-0.2184069
735810904.0,4.748766e-08,0.4130041,1.38906,-0.2856395
735811703.0,5.193152e-08,0.4892858,1.453955,-0.1887852
735812437.0,5.67674e-08,0.483697,1.35789,-0.2016408
735813239.0,7.565845e-08,0.6020781,1.38596,-0.1827597
735813976.0,8.438056e-08,0.6833402,1.395201,-0.2265873
735814779.0,1.126987e-07,0.7499794,1.346416,-0.2828488
735815518.0,1.233697e-07,0.7637648,1.353077,-0.2488213
735816256.0,1.448405e-07,0.7971744,1.284434,-0.2454689
735817061.0,2.164746e-07,0.7822986,1.380204,-0.1857496
735817865.0,7.378205e-08,0.6288956,1.2941,-0.2318502
735818605.0,5.383189e-08,0.4234142,1.328447,-0.27881
735819410.0,5.124788e-08,0.3992385,1.221719,-0.2716264
735820150.0,4.828238e-08,0.29269,1.338775,-0.2993751
735820955.0,5.053867e-08,0.2695033,1.31469,-0.2105683
735821760.0,5.229672e-08,0.1763252,1.50445,-0.09014736
735822499.0,5.995391e-08,0.2240666,1.501694,0.186431
735823306.0,8.55702e-08,0.3369563,1.530585,0.6561349
735824046.0,1.880647e-07,0.7920519,-0.885895,0.5226915
735824852.0,5.902537e-08,0.2752434,1.320084,0.2582236
735825660.0,5.533051e-08,0.2833271,1.294171,0.2218786
735826398.0,5.108159e-08,0.3330206,1.366872,0.06723372
735827205.0,5.462531e-08,0.3353695,1.380367,0.1066613
735827943.0,5.448718e-08,0.3712089,1.303127,0.02469832
735828750.0,5.023508e-08,0.370611,1.338354,0.02885693
735829490.0,5.341044e-08,0.3708561,1.333341,0.02332704
735830295.0,6.044235e-08,0.4422911,1.192568,-0.05246644
735831035.0,6.299027e-08,0.4877185,1.199158,-0.1236521
735831773.0,6.829403e-08,0.5046756,1.216985,-0.05526932
735832579.0,8.889366e-08,0.5942899,1.244429,-0.1315813
735833315.0,1.218309e-07,0.6906171,1.149491,-0.2609021
735834052.0,7.342055e-08,0.5128268,1.374641,-0.1741153
735834856.0,6.144988e-08,0.436584,1.50711,-0.05706751
735835658.0,5.741472e-08,0.3913801,1.518857,0.09665528
735836396.0,6.36134e-08,0.4115249,1.545173,0.08839704
735837201.0,6.929541e-08,0.4343263,-1.508181,0.1928242
735838006.0,8.62635e-08,0.5475568,-1.506571,0.2868264
735838777.0,2.088517e-07,0.8553252,-1.508713,0.2823161
735839615.0,1.078833e-07,0.6192215,1.495373,0.2936292
735840352.0,8.282059e-08,0.5603297,1.521951,0.2284804
735841153.0,7.408148e-08,0.4277516,1.445175,0.2868592
735841891.0,7.474722e-08,0.5061878,1.42386,0.2006052
735842695.0,6.990342e-08,0.4738907,1.465396,0.2925528
735843433.0,6.825043e-08,0.4292499,1.435257,0.3182069
735844235.0,7.191101e-08,0.399332,1.468666,0.3581893
735845036.0,8.089841e-08,0.3708914,1.455131,0.3660014
735845770.0,8.214583e-08,0.351797,1.447863,0.3754796
735846572.0,1.021049e-07,0.2113067,-1.355468,0.1503819
735847339.0,4.747289e-07,0.5643744,-1.387057,-0.3248589
735848075.0,3.344079e-07,0.6891909,-1.407589,-0.2601233
735848909.0,1.456093e-07,0.6140617,-1.560962,0.06318278
735849643.0,1.068609e-07,0.4855992,1.468051,0.1850683
735850387.0,1.276745e-07,0.5632769,1.508597,0.2577901
735851187.0,1.264938e-07,0.5685416,1.409501,0.3914431
735851855.0,1.516335e-07,0.6286331,1.431304,0.4648038
735852694.0,1.743483e-07,0.629162,1.495706,0.4625013
735853496.0,1.398215e-07,0.5659407,1.387208,0.3784894
735854262.0,1.348317e-07,0.5476219,1.432341,0.2888145
735855063.0,1.400587e-07,0.5692994,1.393929,0.3186244
735855814.0,1.318821e-07,0.5368958,1.363508,0.341632
