TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
-1169533102.0,2.03214e-08,0.6774965,0.02321876,-0.007684539
-1169532638.0,2.288046e-08,0.6916057,0.02877582,0.01842089
-1169532238.0,2.40544e-08,0.7004319,-0.001868598,0.02712257
-1169531839.0,2.641603e-08,0.7132298,-0.03327417,0.02615437
-1169531438.0,2.682153e-08,0.718497,-0.04339945,0.01438703
-1169530969.0,2.632436e-08,0.7381742,-0.06355559,-0.002385244
-1169530570.0,2.642531e-08,0.7289993,-0.03401791,0.003701016
-1169530171.0,2.40986e-08,0.7171108,-0.001011126,0.006066642
-1169529703.0,2.586085e-08,0.7402724,-0.004915469,0.00280601
-1169529304.0,2.578687e-08,0.7400614,-0.01035415,0.003476989
-1169528904.0,2.61595e-08,0.7444347,-0.03348839,0.0105984
-1169528437.0,2.690398e-08,0.7255829,-0.05338788,0.006471094
-1169528035.0,2.710976e-08,0.718782,-0.05789041,0.003886882
-1169527636.0,2.775334e-08,0.724254,-0.04304528,0.0003713305
-1169527170.0,3.267988e-08,0.7511553,-0.03532945,-0.003556061
-1169526771.0,3.567723e-08,0.772129,-0.03519999,-0.02572094
-1169526370.0,3.672984e-08,0.775133,-0.03988265,-0.02796957
-1169525970.0,3.715549e-08,0.7826319,-0.03538417,-0.02314733
-1169525503.0,3.873744e-08,0.7814048,-0.03586542,-0.02112892
-1169525102.0,3.738343e-08,0.7801349,-0.04500234,-0.017854
-1169524703.0,3.588017e-08,0.771582,-0.05118739,0.0004844702
-1169524236.0,3.731037e-08,0.7828064,-0.03645396,0.01653761
-1169523837.0,3.67849e-08,0.7757761,-0.02361643,0.02607615
-1169523436.0,3.756817e-08,0.7765565,-0.02034795,0.02711874
-1169522968.0,3.826941e-08,0.7781405,-0.00945329,0.02112988
-1169522567.0,4.129706e-08,0.7979509,-0.000570409,0.01458373
-1169522162.0,4.153508e-08,0.8039889,-0.004896157,0.01478608
-1169521754.0,4.060989e-08,0.8040082,-0.01007592,0.01353689
-1169521278.0,4.073837e-08,0.8147527,-0.003335707,0.01951887
-1169520869.0,3.915682e-08,0.8086912,-0.01825439,0.01633531
-1169520462.0,3.795815e-08,0.7983068,-0.01718747,0.01845997
-1169520053.0,4.043321e-08,0.8119275,-0.01316344,0.02414356
-1169519647.0,4.056808e-08,0.8074221,-0.003262036,0.02704162
-1169519178.0,4.089916e-08,0.7948039,-0.005532258,0.01870458
-1169518777.0,3.954158e-08,0.7860383,-0.0005260632,0.007314103
-1169518376.0,3.657411e-08,0.7626783,-0.01420354,-0.00841501
-1169517974.0,3.564674e-08,0.7594085,-0.02962839,-0.01578887
-1169517507.0,3.542335e-08,0.7689916,-0.04213452,-0.01452169
-1169517107.0,3.724584e-08,0.7736154,-0.04439842,-0.02339206
-1169516707.0,3.920516e-08,0.7877019,-0.05329489,-0.02972192
-1169516307.0,3.988452e-08,0.7887326,-0.05022561,-0.01771548
-1169515840.0,4.12652e-08,0.7823556,-0.03164124,0.005098288
-1169515438.0,3.998711e-08,0.775721,-0.03090667,0.01599742
-1169515037.0,4.309338e-08,0.7788076,-0.03414678,0.02138078
-1169514569.0,3.800176e-08,0.7644045,-0.02974104,0.02836503
-1169514168.0,3.96932e-08,0.7606781,-0.01873755,0.03429134
-1169513768.0,3.82274e-08,0.7646175,-0.01588821,0.01397452
-1169513303.0,3.876859e-08,0.7604233,-0.01375424,0.02175011
-1169512902.0,4.168878e-08,0.7722757,-0.02596437,0.0120524
-1169512503.0,4.251019e-08,0.7771209,-0.03463518,0.00381859
-1169512034.0,4.443983e-08,0.7773687,-0.0612657,-0.0008273784
-1169511634.0,4.427233e-08,0.7755567,-0.0458945,-0.005172408
-1169511232.0,4.079289e-08,0.762287,-0.0346378,-0.02938975
-1169510833.0,4.064891e-08,0.7574048,-0.03474628,-0.01091439
