TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
-1168705683.0,3.698244e-08,0.6707148,1.534594,-0.4136973
-1168705283.0,3.971237e-08,0.6591569,1.53693,-0.4276166
-1168704817.0,4.255173e-08,0.6729958,-1.556466,-0.450119
-1168704417.0,4.737515e-08,0.7119221,-1.535081,-0.4666358
-1168704014.0,4.914809e-08,0.7218218,-1.566263,-0.4617411
-1168703610.0,4.972366e-08,0.7360185,1.569816,-0.4589483
-1168703142.0,4.802539e-08,0.7266055,1.540378,-0.4646437
-1168702743.0,4.537417e-08,0.7152733,1.5049,-0.428836
-1168702343.0,4.48046e-08,0.7135609,1.479434,-0.4539367
-1168701877.0,4.440104e-08,0.7189034,1.485672,-0.4679653
-1168701477.0,4.476242e-08,0.7143506,1.547286,-0.4903146
-1168701078.0,4.637993e-08,0.7152996,-1.545878,-0.4783272
-1168700610.0,4.782825e-08,0.7286008,-1.54509,-0.4730525
-1168700211.0,5.170773e-08,0.7414497,-1.544324,-0.4569581
-1168699809.0,5.882672e-08,0.7493767,-1.570363,-0.4607169
-1168699342.0,6.553879e-08,0.7815202,1.531346,-0.4541942
-1168698941.0,6.955637e-08,0.7966895,1.550536,-0.4440156
-1168698407.0,7.357804e-08,0.7970991,1.556537,-0.4272969
-1168698007.0,7.522675e-08,0.7965799,-1.568969,-0.4396107
-1168697606.0,7.544349e-08,0.7991777,-1.549695,-0.4323119
-1168697203.0,7.530407e-08,0.7966926,-1.530662,-0.432607
-1168696735.0,7.566582e-08,0.7924978,-1.539754,-0.4463296
-1168696334.0,7.560647e-08,0.7894972,-1.540072,-0.4505675
-1168695933.0,7.651009e-08,0.807513,-1.541782,-0.4606566
-1168695463.0,7.712892e-08,0.8053806,-1.555594,-0.454842
-1168695061.0,8.681668e-08,0.8184151,-1.542007,-0.4486502
-1168694661.0,9.23789e-08,0.836121,-1.550136,-0.4367863
-1168694260.0,9.07914e-08,0.8396592,-1.545901,-0.427579
-1168693792.0,8.691696e-08,0.8320817,-1.547902,-0.4409385
-1168693390.0,8.287638e-08,0.8239624,-1.527475,-0.4416225
-1168692988.0,7.603278e-08,0.8151575,-1.516775,-0.4502005
-1168692519.0,7.474563e-08,0.8007718,-1.52111,-0.4718958
-1168692118.0,7.16176e-08,0.790111,-1.526508,-0.4781167
-1168691714.0,6.945731e-08,0.781694,-1.539319,-0.4871958
-1168691311.0,6.932567e-08,0.7801437,1.568677,-0.4780651
-1168690841.0,6.561769e-08,0.7629084,1.566072,-0.4614386
-1168690439.0,6.464311e-08,0.7630695,-1.562087,-0.4610961
-1168690036.0,6.743677e-08,0.7782992,1.555513,-0.4596529
-1168689567.0,7.006447e-08,0.8025826,1.53838,-0.469202
-1168689166.0,7.035857e-08,0.806451,1.549728,-0.4791774
-1168688765.0,7.108381e-08,0.8011963,1.548779,-0.4892414
-1168688363.0,6.980527e-08,0.7892616,1.563384,-0.5200372
-1168687895.0,6.50072e-08,0.7589407,-1.532782,-0.5387495
-1168687494.0,6.836204e-08,0.7523073,-1.513635,-0.5579502
-1168687092.0,6.074601e-08,0.7181917,-1.490895,-0.5522588
-1168686690.0,6.139084e-08,0.7191974,-1.497593,-0.5729391
-1168686221.0,6.19862e-08,0.7349564,-1.521518,-0.529052
-1168685819.0,6.351066e-08,0.7498393,-1.535428,-0.5174555
-1168685416.0,6.893551e-08,0.7813748,-1.526696,-0.4973242
-1168685014.0,7.028422e-08,0.7880102,-1.518551,-0.5050943
-1168684543.0,7.351302e-08,0.7938838,-1.492764,-0.5148989
-1168684141.0,7.325135e-08,0.7764965,-1.470235,-0.5094201
-1168683738.0,6.708686e-08,0.7588365,-1.488346,-0.4927856
-1168683336.0,6.423655e-08,0.744493,-1.443683,-0.5239051
-1168682867.0,6.719254e-08,0.7625413,-1.478461,-0.5240342
-1168682466.0,6.6817e-08,0.778453,1.56304,-0.5205058
-1168682065.0,7.277656e-08,0.7893027,1.565117,-0.5398206
-1168681595.0,7.138469e-08,0.7897317,1.551605,-0.540784
-1168681193.0,6.889462e-08,0.7867815,1.568106,-0.548048
-1168680791.0,7.004821e-08,0.7890356,-1.556156,-0.5595243
-1168680320.0,6.899833e-08,0.7728284,-1.536451,-0.5775136
-1168679919.0,6.765969e-08,0.7746832,-1.557698,-0.5860737
-1168679517.0,7.004882e-08,0.7579474,-1.499709,-0.5759579
-1168679047.0,6.999834e-08,0.7552469,-1.463505,-0.5499498
-1168678644.0,6.968098e-08,0.755463,-1.474599,-0.5419675
-1168678241.0,7.373644e-08,0.7751418,-1.455956,-0.5434978
-1168677774.0,7.867112e-08,0.7886301,-1.42281,-0.5318575
-1168677372.0,8.240466e-08,0.7978177,-1.441949,-0.5219797
-1168676970.0,7.627993e-08,0.7790721,-1.46941,-0.5324676
-1168676501.0,7.58463e-08,0.7647681,-1.476664,-0.5378741
-1168676100.0,7.539731e-08,0.7681137,-1.478625,-0.5624808
-1168675696.0,7.497477e-08,0.775784,-1.510251,-0.5707496
-1168675293.0,7.27022e-08,0.7806564,-1.55299,-0.5620177
-1168674821.0,7.375859e-08,0.7839567,-1.528676,-0.5589314
