TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
-1168150376.0,3.910275e-08,0.7250021,-1.133432,-0.001690518
-1168149902.0,4.207322e-08,0.7518347,-1.102821,0.01415341
-1168149495.0,4.530196e-08,0.7781903,-1.100156,0.02046657
-1168149087.0,5.067701e-08,0.8042224,-1.094526,0.01720868
-1168148680.0,5.218294e-08,0.8082073,-1.100278,0.002482114
-1168148273.0,5.263467e-08,0.805697,-1.10403,-0.003235481
-1168147800.0,4.980045e-08,0.7826197,-1.117987,0.006668789
-1168147394.0,4.639296e-08,0.7710164,-1.143581,0.0116184
-1168146989.0,4.641561e-08,0.770324,-1.105253,0.006668865
-1168146586.0,4.562183e-08,0.7743858,-1.09603,0.006851896
-1168146113.0,4.741039e-08,0.7841617,-1.079294,0.0243307
-1168145707.0,5.040635e-08,0.7890492,-1.078729,0.03789947
-1168145303.0,5.137555e-08,0.8027143,-1.089136,0.04333895
-1168144897.0,5.448945e-08,0.8007902,-1.123109,0.05141597
-1168144423.0,6.171801e-08,0.8194894,-1.124779,0.04860826
-1168144018.0,6.739915e-08,0.8273084,-1.12815,0.04087008
-1168143613.0,7.24631e-08,0.8435164,-1.135941,0.04350765
-1168143143.0,7.559572e-08,0.8466918,-1.149667,0.04759926
-1168142670.0,7.839977e-08,0.8491404,-1.137923,0.04915197
-1168142264.0,7.911745e-08,0.8473602,-1.140164,0.05815795
-1168141860.0,8.074521e-08,0.8400242,-1.143422,0.05419028
-1168141454.0,8.062524e-08,0.8344618,-1.131644,0.04928184
-1168140982.0,8.060202e-08,0.8368603,-1.126987,0.04392209
-1168140578.0,8.126458e-08,0.8495496,-1.11986,0.0385784
-1168140175.0,8.061973e-08,0.8456878,-1.126902,0.04589642
-1168139770.0,8.91595e-08,0.8528354,-1.128558,0.05248133
-1168139298.0,9.596732e-08,0.864527,-1.149293,0.05627664
-1168138894.0,9.435238e-08,0.8609166,-1.155051,0.06221631
-1168138490.0,9.04598e-08,0.854882,-1.151018,0.06282243
-1168138085.0,8.720562e-08,0.8512104,-1.140376,0.06710947
-1168137613.0,7.884011e-08,0.8406224,-1.129063,0.07517279
-1168137209.0,7.773071e-08,0.8418214,-1.115945,0.08720188
-1168136804.0,7.539034e-08,0.8343417,-1.104891,0.09619174
-1168136402.0,7.366914e-08,0.8274111,-1.093863,0.08808096
-1168135930.0,7.131685e-08,0.8225566,-1.099986,0.07363663
-1168135526.0,6.639831e-08,0.8158742,-1.107279,0.06868501
-1168135122.0,6.558357e-08,0.8223999,-1.095786,0.0614004
-1168134717.0,6.900627e-08,0.8343303,-1.103395,0.03614923
-1168134244.0,7.144102e-08,0.8490286,-1.111722,0.02510704
-1168133771.0,7.290922e-08,0.8479922,-1.094795,0.02703488
-1168133366.0,7.36049e-08,0.8441524,-1.089869,0.02631248
-1168132962.0,7.150092e-08,0.8355502,-1.070501,0.02887824
-1168132558.0,6.487002e-08,0.8201064,-1.057162,0.0493723
-1168132089.0,6.866566e-08,0.8192125,-1.0417,0.05237014
-1168131684.0,6.072897e-08,0.8053349,-1.040831,0.06068355
-1168131278.0,6.132297e-08,0.7983812,-1.033611,0.06226848
-1168130874.0,6.15078e-08,0.8015169,-1.062323,0.06389196
-1168130402.0,6.462371e-08,0.8044405,-1.075168,0.07305868
