TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
-1168428465.0,3.645376e-08,0.7191409,1.12278,0.008468034
-1168428061.0,3.933669e-08,0.7210337,1.102805,0.02521335
-1168427588.0,4.050152e-08,0.7294176,1.103115,0.002552525
-1168427183.0,4.405363e-08,0.754471,1.101227,-0.01105463
-1168426780.0,4.605275e-08,0.7655511,1.10452,-0.000311996
-1168426377.0,4.660904e-08,0.7654072,1.111139,-0.004508159
-1168425973.0,4.698738e-08,0.7715284,1.090416,-0.01333504
-1168425501.0,4.566585e-08,0.7647323,1.096071,0.006173329
-1168425095.0,4.532911e-08,0.7674794,1.069851,0.02423284
-1168424689.0,4.367836e-08,0.7687214,1.062838,0.011753
-1168424284.0,4.344658e-08,0.7701851,1.056699,-0.0133508
-1168423811.0,4.430064e-08,0.7723441,1.077304,-0.02553161
-1168423406.0,4.499742e-08,0.7792055,1.076198,-0.03263565
-1168423001.0,5.100212e-08,0.783251,1.08992,-0.05325162
-1168422597.0,5.843041e-08,0.7822567,1.07384,-0.03825317
-1168422126.0,6.534938e-08,0.7964963,1.0564,-0.02434259
-1168421722.0,6.931249e-08,0.8016235,1.062437,-0.02613943
-1168421318.0,7.311555e-08,0.7981872,1.079135,-0.02641148
-1168420849.0,7.46584e-08,0.8089668,1.080502,-0.03369046
-1168420447.0,7.410596e-08,0.8171526,1.096484,-0.04466996
-1168420046.0,7.316967e-08,0.8206757,1.119078,-0.04855969
-1168419643.0,7.462883e-08,0.8249738,1.114843,-0.04290126
-1168419174.0,7.519157e-08,0.828892,1.120188,-0.04520799
-1168418771.0,7.649558e-08,0.836699,1.114916,-0.04885182
-1168418368.0,7.680933e-08,0.8366924,1.106367,-0.04932779
-1168417965.0,8.68485e-08,0.8455224,1.115364,-0.05552125
-1168417495.0,9.402158e-08,0.860801,1.126485,-0.0584155
-1168417095.0,9.107544e-08,0.8595742,1.134255,-0.05939343
-1168416693.0,9.043398e-08,0.8500264,1.124399,-0.06375567
-1168416225.0,8.231607e-08,0.8441294,1.125184,-0.06638808
-1168415823.0,7.558125e-08,0.8316862,1.111686,-0.07102779
-1168415421.0,7.663081e-08,0.8271377,1.081808,-0.06337741
-1168415020.0,7.392373e-08,0.8236171,1.074389,-0.05558669
-1168414551.0,7.237913e-08,0.8219368,1.063485,-0.05023379
-1168414149.0,7.300217e-08,0.8208063,1.072851,-0.03606416
-1168413749.0,6.771136e-08,0.8077708,1.073687,-0.03843689
-1168413348.0,6.41717e-08,0.808992,1.073209,-0.04088348
-1168412879.0,6.630296e-08,0.8175407,1.078326,-0.02663344
-1168412477.0,6.849643e-08,0.8295153,1.069549,-0.033975
-1168412074.0,6.888093e-08,0.8240426,1.059788,-0.03364328
-1168411605.0,6.928204e-08,0.82277,1.056605,-0.0347383
-1168411202.0,6.850658e-08,0.8090662,1.04656,-0.0547137
-1168410801.0,6.373816e-08,0.7968321,1.036728,-0.07318373
-1168410400.0,6.656115e-08,0.794262,1.022732,-0.08090019
-1168409931.0,5.796873e-08,0.7705269,1.018693,-0.08510148
-1168409530.0,5.986569e-08,0.776968,1.004183,-0.09126734
-1168409128.0,6.027455e-08,0.7828187,1.026986,-0.08201836
-1168408726.0,6.230228e-08,0.7995548,1.031156,-0.07430871
-1168408259.0,6.830161e-08,0.824809,1.045478,-0.05431061
-1168407859.0,6.925627e-08,0.8250228,1.042106,-0.0615215
-1168407459.0,7.031538e-08,0.8259443,1.037719,-0.0696323
-1168406991.0,6.953037e-08,0.8114856,1.035065,-0.08552772
-1168406589.0,6.357832e-08,0.788804,1.038947,-0.083048
-1168406188.0,6.119131e-08,0.7818017,1.024054,-0.1083445
-1168405718.0,6.516442e-08,0.8031947,1.027415,-0.1090818
-1168405316.0,6.868773e-08,0.8192665,1.028989,-0.07522153
-1168404915.0,7.346312e-08,0.8282765,1.009953,-0.06742172
-1168404513.0,7.273378e-08,0.8303557,1.010109,-0.06127819
-1168404045.0,7.005749e-08,0.8174784,1.009054,-0.05443736
-1168403644.0,7.027128e-08,0.81154,1.002026,-0.05221399
-1168403242.0,6.902669e-08,0.8010938,0.993939,-0.05332826
-1168402840.0,6.744419e-08,0.8072887,0.977486,-0.04259038
-1168402372.0,6.720789e-08,0.809158,0.9817852,-0.05848895
-1168401970.0,6.655599e-08,0.8075558,0.9932546,-0.07134694
-1168401568.0,6.64981e-08,0.8126855,0.9929256,-0.0625439
-1168401101.0,7.04251e-08,0.8218453,0.9878042,-0.08004912
-1168400701.0,7.301272e-08,0.8269267,0.9944904,-0.09186022
-1168400299.0,7.609259e-08,0.8286827,1.017415,-0.08068142
-1168399897.0,7.191599e-08,0.8168415,1.013211,-0.07713773
-1168399428.0,7.247292e-08,0.8077469,1.004218,-0.07213173
-1168399025.0,7.38372e-08,0.8189913,0.9840694,-0.07850664
-1168398621.0,7.454376e-08,0.8260523,0.9810754,-0.07744006
-1168398217.0,7.446868e-08,0.8232823,0.9838514,-0.07469355
-1168397750.0,7.571938e-08,0.8333836,0.9934102,-0.08004273
-1168397348.0,7.929728e-08,0.8357637,0.9852988,-0.06788867
-1168396946.0,8.706434e-08,0.8431482,0.9724324,-0.07287959
-1168396475.0,8.954232e-08,0.842539,0.9733006,-0.07234504
-1168396071.0,8.669462e-08,0.8346501,0.9718764,-0.07682001
-1168395667.0,8.331667e-08,0.8262646,0.9642026,-0.08296674
-1168395263.0,8.200986e-08,0.8182797,0.972798,-0.08274171
-1168394793.0,8.032462e-08,0.8170944,0.9737312,-0.06710876
-1168394391.0,7.862731e-08,0.8127776,0.969612,-0.05288993
-1168393988.0,8.371468e-08,0.8234493,0.9846364,-0.06151824
-1168393585.0,8.790672e-08,0.8398496,0.983059,-0.06628584
-1168393114.0,9.404298e-08,0.8516644,0.9826934,-0.07408569
-1168392710.0,9.350996e-08,0.8455422,0.9742128,-0.07417695
-1168392306.0,1.031266e-07,0.8570856,0.9815122,-0.07869902
-1168391900.0,1.049938e-07,0.858695,0.9900546,-0.08420106
-1168391428.0,1.038895e-07,0.8449306,0.9991136,-0.0822483
-1168391025.0,1.027901e-07,0.8407146,1.007552,-0.07385088
-1168390554.0,1.03412e-07,0.8367328,1.001071,-0.07701432
-1168390149.0,1.008939e-07,0.8357703,0.998634,-0.07930854
-1168389745.0,1.017293e-07,0.8383271,0.9797452,-0.06045466
-1168389340.0,1.085391e-07,0.8524022,0.9624402,-0.06153851
-1168388936.0,1.151592e-07,0.8563904,0.9568984,-0.07252197
-1168388464.0,1.250396e-07,0.8681936,0.9675008,-0.06583165
-1168388061.0,1.373046e-07,0.874674,0.9805862,-0.06898801
-1168387658.0,1.478047e-07,0.8830232,0.9773348,-0.07910184
-1168387254.0,1.47335e-07,0.881437,0.980896,-0.07007101
-1168386781.0,1.61536e-07,0.8827766,0.9898886,-0.0516815
-1168386444.0,1.740126e-07,0.8824686,1.001713,-0.05628978
-1168385936.0,1.779805e-07,0.888196,0.9980718,-0.05519342
-1168385529.0,1.886921e-07,0.8914824,0.9932054,-0.04606128
-1168385123.0,1.906448e-07,0.8952358,0.993862,-0.05109034
-1168384718.0,1.875715e-07,0.889173,0.9947862,-0.05437793
-1168384315.0,1.936858e-07,0.885227,0.9837236,-0.06144279
-1168383843.0,1.818153e-07,0.8797798,0.9921844,-0.05762216
-1168383438.0,1.883922e-07,0.8810188,0.9984642,-0.06944401
-1168383033.0,1.975834e-07,0.8835404,1.000035,-0.07190994
-1168382628.0,2.074309e-07,0.8916884,1.006386,-0.06577209
-1168382222.0,2.048465e-07,0.8928924,1.011879,-0.07164125
-1168381749.0,2.196122e-07,0.8940294,1.018569,-0.07691738
-1168381343.0,2.273783e-07,0.8962958,1.017905,-0.07677837
-1168380937.0,2.198353e-07,0.896063,1.014236,-0.0785757
-1168380531.0,2.079239e-07,0.889913,1.007069,-0.08224741
-1168380058.0,2.050711e-07,0.89044,0.9986312,-0.08170884
-1168379653.0,1.857846e-07,0.8831574,0.9829764,-0.08026408
-1168379248.0,1.878419e-07,0.8786076,0.9734464,-0.08063673
-1168378844.0,1.749391e-07,0.873423,0.976859,-0.08371334
-1168378373.0,1.58369e-07,0.861125,0.9624242,-0.08614342
-1168377968.0,1.548101e-07,0.8572364,0.9669218,-0.08635638
-1168377562.0,1.544299e-07,0.8602244,0.9547268,-0.0905609
-1168377157.0,1.47701e-07,0.855495,0.9575052,-0.09337232
-1168376683.0,1.422423e-07,0.8537876,0.9527476,-0.09399616
-1168376277.0,1.470688e-07,0.856382,0.954058,-0.0925487
-1168375872.0,1.387776e-07,0.8470186,0.9549036,-0.08946794
-1168375535.0,1.366109e-07,0.8443352,0.9587438,-0.09745392
-1168375029.0,1.45287e-07,0.8573538,0.954152,-0.09870062
-1168374626.0,1.447333e-07,0.8555944,0.954491,-0.1067836
-1168374221.0,1.49102e-07,0.8529112,0.9520832,-0.105452
-1168373815.0,1.591246e-07,0.8570998,0.9483814,-0.1196133
-1168373477.0,1.78891e-07,0.8017168,1.029268,-0.08695828
-1168372969.0,1.826144e-07,0.8469614,0.9412868,-0.1136968
-1168372496.0,1.951693e-07,0.8404674,0.9428928,-0.1193989
-1168372091.0,2.099012e-07,0.8454756,0.9455782,-0.1225169
-1168371686.0,2.021603e-07,0.8333654,0.9503964,-0.1193526
-1168371216.0,2.090919e-07,0.8377149,0.9546376,-0.1087469
-1168370810.0,2.109556e-07,0.8357164,0.9677288,-0.134391
-1168370404.0,2.220252e-07,0.8296703,0.9946762,-0.150518
-1168369999.0,2.290759e-07,0.8221175,0.9997672,-0.1738274
-1168369594.0,2.490685e-07,0.8086906,1.020653,-0.1763883
-1168369121.0,2.436332e-07,0.779169,1.037239,-0.174046
-1168368717.0,2.393834e-07,0.756505,1.043612,-0.1581773
-1168368314.0,2.311576e-07,0.750891,1.028862,-0.1295161
-1168367911.0,2.206528e-07,0.7599976,1.007074,-0.106267
-1168367439.0,2.076994e-07,0.7655431,0.9594808,-0.07914686
-1168367035.0,1.941289e-07,0.783269,0.9341612,-0.0701742
-1168366630.0,1.932952e-07,0.815427,0.9172798,-0.07694914
-1168366225.0,1.910551e-07,0.8295073,0.905994,-0.08026066
-1168365753.0,1.920752e-07,0.845851,0.90792,-0.07989963
-1168365349.0,1.978907e-07,0.8545516,0.9075614,-0.08473722
-1168364945.0,1.971737e-07,0.856925,0.9103326,-0.0797947
-1168364541.0,2.009972e-07,0.860126,0.9158164,-0.0748469
-1168364068.0,2.141307e-07,0.8691586,0.9188948,-0.07134036
-1168363664.0,2.095399e-07,0.8643544,0.9218024,-0.07294089
-1168363260.0,1.940026e-07,0.8505018,0.9222696,-0.08496934
-1168362855.0,1.889452e-07,0.8493466,0.9076228,-0.08952702
-1168362451.0,1.977503e-07,0.855188,0.8963948,-0.086684
-1168361980.0,2.115844e-07,0.8644836,0.8917044,-0.0855795
-1168361577.0,2.304073e-07,0.8809646,0.8800912,-0.07662715
-1168361173.0,2.405196e-07,0.8841718,0.889975,-0.07921727
-1168360701.0,2.446758e-07,0.8848684,0.892877,-0.07864992
-1168360298.0,2.520801e-07,0.8867948,0.899722,-0.07631507
-1168359893.0,2.450736e-07,0.882082,0.9094428,-0.07845961
-1168359490.0,2.287173e-07,0.8761536,0.9086756,-0.06861791
-1168359020.0,2.343598e-07,0.8820872,0.8992038,-0.06610686
-1168358616.0,2.570971e-07,0.8813042,0.898373,-0.06774766
-1168358213.0,2.588095e-07,0.885832,0.8839998,-0.07443295
-1168357810.0,2.66365e-07,0.882423,0.8835844,-0.08277775
-1168357340.0,2.564138e-07,0.881326,0.8899052,-0.08868082
-1168356935.0,2.564588e-07,0.88504,0.8934262,-0.09791558
-1168356532.0,2.616422e-07,0.8893112,0.9047862,-0.1005125
-1168356128.0,2.622983e-07,0.8924752,0.9131336,-0.09142524
-1168355657.0,2.768061e-07,0.8950568,0.9072778,-0.08159102
-1168355254.0,2.75589e-07,0.8921062,0.8997922,-0.08107922
-1168354851.0,2.823687e-07,0.8893292,0.8910264,-0.07830847
-1168354449.0,2.771823e-07,0.8890922,0.8788222,-0.07996487
-1168354045.0,2.793502e-07,0.8928156,0.8710738,-0.09346546
-1168353576.0,2.769285e-07,0.8879866,0.8748502,-0.09460306
-1168353171.0,2.878206e-07,0.8958974,0.8765068,-0.08646382
-1168352767.0,2.932723e-07,0.891723,0.8756802,-0.07803478
-1168352295.0,2.961487e-07,0.885651,0.884837,-0.07112395
-1168351891.0,2.957745e-07,0.8873448,0.880849,-0.06786201
-1168351487.0,3.027341e-07,0.8842504,0.8827878,-0.07603658
-1168351017.0,3.231205e-07,0.8790836,0.869742,-0.0751122
-1168350614.0,3.413548e-07,0.8843936,0.867452,-0.0751111
-1168350210.0,3.262488e-07,0.8804706,0.8753442,-0.07520161
-1168349807.0,3.098208e-07,0.8756448,0.8743596,-0.07342167
-1168349335.0,3.01238e-07,0.8791764,0.8812594,-0.08633404
-1168348930.0,2.991523e-07,0.8781734,0.8896274,-0.0936642
-1168348526.0,3.204138e-07,0.8839342,0.8872566,-0.1120352
-1168348121.0,3.327771e-07,0.8882036,0.8870834,-0.1172997
-1168347650.0,3.436972e-07,0.8897822,0.8893402,-0.1201456
-1168347247.0,3.407897e-07,0.8891482,0.889347,-0.1154308
-1168346843.0,3.544863e-07,0.8947596,0.895753,-0.1101849
-1168346507.0,3.823234e-07,0.8945258,0.8974024,-0.1046532
-1168346002.0,4.239319e-07,0.9268582,0.8906688,-0.1111352
-1168345462.0,4.54695e-07,0.9186122,0.8829052,-0.1000815
-1168345058.0,4.695569e-07,0.915773,0.8779544,-0.09574538
-1168344655.0,4.481716e-07,0.9142962,0.8668226,-0.09211932
-1168344253.0,4.439745e-07,0.9051302,0.8737222,-0.09944894
-1168343850.0,4.3405e-07,0.902959,0.8703122,-0.1038835
-1168343380.0,4.838345e-07,0.917247,0.887492,-0.1126589
-1168342976.0,5.052098e-07,0.9238726,0.8825496,-0.1225687
-1168342574.0,5.495402e-07,0.9214282,0.8938278,-0.1264166
-1168342104.0,5.950958e-07,0.9211962,0.8984632,-0.1270355
-1168341701.0,6.994657e-07,0.9302322,0.9040986,-0.1319731
-1168341299.0,7.933679e-07,0.9319976,0.9145664,-0.1409289
-1168340895.0,8.541834e-07,0.9356982,0.9297606,-0.1441132
-1168340457.0,2.31671e-06,0.9289218,0.9348102,-0.1525198
-1168340056.0,4.948336e-07,0.9307374,0.9327272,-0.1529429
-1168339722.0,1.57158e-06,0.8145497,1.011166,-0.2303261
-1168339186.0,1.708668e-06,0.9526328,0.9708984,-0.1754393
-1168338783.0,1.954444e-06,0.954661,0.9793262,-0.1817208
-1168338313.0,2.060358e-06,0.957624,0.9867908,-0.1894603
-1168337978.0,2.197085e-06,0.9607096,0.9878998,-0.1909828
-1168337476.0,2.070847e-06,0.960068,0.9898698,-0.1884111
-1168337074.0,1.804484e-06,0.9539114,0.990169,-0.1831273
-1168336639.0,1.395403e-06,0.9383942,0.9873546,-0.1764465
-1168336238.0,1.104407e-06,0.9267636,0.9759032,-0.1665961
-1168335837.0,8.591932e-07,0.9070526,0.9614258,-0.1471968
-1168335502.0,7.635884e-07,0.9001222,0.9457694,-0.1267738
-1168335001.0,6.267642e-07,0.8788834,0.9088588,-0.09281364
-1168334534.0,6.237729e-07,0.8849094,0.8687838,-0.06601896
-1168334131.0,6.20728e-07,0.891946,0.8604938,-0.06378698
-1168333730.0,6.068762e-07,0.9029172,0.8539736,-0.06438609
-1168333330.0,6.051751e-07,0.9036834,0.8477312,-0.06392605
-1168332863.0,6.066162e-07,0.913103,0.844747,-0.06343531
-1168332464.0,5.828273e-07,0.9130536,0.8388595,-0.05779136
-1168332061.0,5.415519e-07,0.9115386,0.8319199,-0.05161889
-1168331594.0,5.234525e-07,0.9119916,0.8251406,-0.04485236
-1168331193.0,5.291679e-07,0.9141374,0.8215912,-0.04303864
-1168330791.0,5.758693e-07,0.9297516,0.8230049,-0.03805839
-1168330391.0,5.861402e-07,0.93367,0.8167018,-0.04456061
-1168329924.0,6.331517e-07,0.9383252,0.8135851,-0.03654442
-1168329524.0,6.303079e-07,0.9425758,0.8105888,-0.03613772
-1168329122.0,6.44651e-07,0.9417734,0.8037457,-0.04078784
-1168328656.0,6.239692e-07,0.945303,0.800951,-0.03293131
-1168328254.0,6.145649e-07,0.9465212,0.7977194,-0.03134269
-1168327853.0,6.559273e-07,0.9498528,0.7975602,-0.03440434
