TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
-1168983115.0,3.862931e-08,0.6513534,-1.508689,0.420271
-1168982713.0,4.126322e-08,0.6808308,-1.493199,0.4563765
-1168982244.0,4.321927e-08,0.7193986,-1.485287,0.4501007
-1168981841.0,4.751918e-08,0.7485771,-1.476907,0.4503473
-1168981437.0,4.971744e-08,0.7497717,-1.467972,0.442998
-1168981036.0,4.980817e-08,0.7457307,-1.462276,0.4373646
-1168980568.0,4.872253e-08,0.72814,-1.534354,0.4457358
-1168980164.0,4.628367e-08,0.717871,-1.553059,0.439929
-1168979761.0,4.69682e-08,0.7182473,-1.515282,0.4816107
-1168979358.0,4.533172e-08,0.7233783,-1.503114,0.4876241
-1168978890.0,4.469587e-08,0.7306769,-1.510951,0.4906792
-1168978486.0,4.717829e-08,0.7317194,-1.504899,0.4807603
-1168978083.0,4.821325e-08,0.7493944,-1.517651,0.4804583
-1168977681.0,5.148921e-08,0.7454917,1.563184,0.4528016
-1168977212.0,6.004105e-08,0.7653643,1.561298,0.4700185
-1168976809.0,6.683527e-08,0.7661417,1.563938,0.4909196
-1168976407.0,7.083743e-08,0.7769688,1.566002,0.4896201
-1168976005.0,7.343106e-08,0.7821135,1.561508,0.4775945
-1168975534.0,7.56845e-08,0.7919939,1.560269,0.4773958
-1168975130.0,7.602358e-08,0.7964781,1.552674,0.4639688
-1168974726.0,7.6942e-08,0.7987319,1.567293,0.4394604
-1168974321.0,7.853729e-08,0.7978473,1.568222,0.4402704
-1168973849.0,7.911204e-08,0.7961176,-1.570294,0.4310341
-1168973446.0,8.040353e-08,0.8013178,-1.561573,0.434792
-1168973043.0,7.972557e-08,0.80117,1.552705,0.443099
-1168972640.0,8.868114e-08,0.8179411,1.539442,0.4431945
-1168972172.0,9.401126e-08,0.8373843,1.531319,0.4305175
-1168971766.0,9.209574e-08,0.8343708,1.527166,0.4278138
-1168971362.0,8.973076e-08,0.824373,1.512097,0.4316138
-1168970960.0,8.47043e-08,0.8226038,1.52224,0.4395388
-1168970489.0,7.739807e-08,0.8055964,1.507125,0.4525822
-1168970085.0,7.840283e-08,0.8091332,1.489999,0.4754345
-1168969683.0,7.665685e-08,0.8036244,1.488074,0.4851405
-1168969280.0,7.492536e-08,0.7888649,1.498825,0.4918744
-1168968808.0,7.342219e-08,0.7865205,1.503413,0.4873716
-1168968404.0,6.773451e-08,0.7710287,1.5112,0.4877054
-1168968001.0,6.455277e-08,0.766044,1.537752,0.4968761
-1168967597.0,6.646232e-08,0.7822746,-1.555685,0.4842533
-1168967124.0,6.98641e-08,0.7876396,-1.557983,0.4778187
-1168966722.0,7.112766e-08,0.7837554,-1.535423,0.4982223
-1168966318.0,7.203714e-08,0.7796263,-1.544134,0.4940425
-1168965916.0,7.059146e-08,0.7660327,-1.561856,0.4895218
-1168965445.0,6.49587e-08,0.7525851,1.525222,0.4989548
-1168965040.0,6.753257e-08,0.7561509,1.533455,0.5079972
-1168964638.0,5.93932e-08,0.7329626,1.520076,0.5119196
-1168964234.0,6.034889e-08,0.7230973,1.504159,0.5141382
-1168963763.0,6.105686e-08,0.7343398,1.501873,0.5046556
-1168963361.0,6.591451e-08,0.7430812,1.488875,0.496359
-1168962957.0,7.261395e-08,0.7821348,1.517299,0.516374
-1168962555.0,7.338385e-08,0.7830525,1.52858,0.5156448
-1168962085.0,7.445841e-08,0.7831632,1.555711,0.5213812
-1168961681.0,7.239999e-08,0.7739263,1.533616,0.5184298
-1168961278.0,6.519402e-08,0.7332536,1.531178,0.5250291
-1168960876.0,6.2839e-08,0.7187153,1.500596,0.5105543
-1168960405.0,6.552723e-08,0.7341588,1.460765,0.4944563
-1168960003.0,6.747037e-08,0.7452629,1.460025,0.4905723
-1168959601.0,7.304947e-08,0.7539552,1.484293,0.5252923
-1168959198.0,7.435416e-08,0.7536586,1.493127,0.5205816
-1168958727.0,7.351711e-08,0.7476925,1.544356,0.5211175
-1168958323.0,7.419917e-08,0.753045,-1.562828,0.5349087
-1168957921.0,7.23582e-08,0.7626426,-1.555702,0.5418499
-1168957519.0,7.056907e-08,0.7648649,-1.548534,0.5585109
-1168957049.0,7.081448e-08,0.757995,1.561659,0.5725873
-1168956647.0,7.031342e-08,0.7625582,1.510028,0.5730882
-1168956245.0,7.105043e-08,0.7642173,1.530319,0.5840892
-1168955842.0,7.328711e-08,0.7723444,1.514281,0.5885522
-1168955372.0,7.773442e-08,0.7819615,1.516965,0.5820941
-1168954969.0,8.219121e-08,0.7920202,1.55323,0.5661165
-1168954566.0,7.677654e-08,0.7686369,1.541793,0.5587488
-1168954162.0,7.691474e-08,0.7556544,1.512357,0.5663306
-1168953693.0,7.566571e-08,0.7643936,1.462141,0.5848071
-1168953292.0,7.736533e-08,0.7594872,1.454651,0.5706434
-1168952890.0,7.582142e-08,0.7473985,1.444904,0.5583722
-1168952420.0,7.745019e-08,0.7552511,1.436682,0.5582792
-1168952018.0,8.007676e-08,0.764224,1.456412,0.5635647
-1168951616.0,8.590636e-08,0.7833366,1.427778,0.5761045
-1168951216.0,8.775738e-08,0.7919187,1.436268,0.5851065
-1168950748.0,8.559634e-08,0.7875525,1.444825,0.5854029
-1168950346.0,8.422534e-08,0.7793113,1.430672,0.5882054
-1168949946.0,8.285856e-08,0.7756802,1.468815,0.5731231
-1168949544.0,8.282629e-08,0.7798459,1.503217,0.5854942
-1168949078.0,8.13257e-08,0.7911948,1.534817,0.5892998
-1168948676.0,8.481384e-08,0.8095641,1.506478,0.5727167
-1168948277.0,9.035976e-08,0.8250965,1.497802,0.5712228
-1168947809.0,9.530652e-08,0.8219882,1.468303,0.5624975
-1168947410.0,9.55102e-08,0.8063955,1.475448,0.573373
-1168947007.0,1.05254e-07,0.8106903,1.472047,0.5691126
-1168946605.0,1.081563e-07,0.8056172,1.493608,0.5522384
-1168946136.0,1.068158e-07,0.7972986,1.493322,0.5618677
-1168945734.0,1.056651e-07,0.7966554,1.526015,0.5548951
-1168945332.0,1.06139e-07,0.7970472,1.502464,0.5537539
-1168944864.0,1.032343e-07,0.7908073,1.472056,0.5553202
-1168944462.0,1.068972e-07,0.7955296,1.538545,0.5697985
-1168944061.0,1.134747e-07,0.8047241,1.525277,0.5814591
-1168943659.0,1.200917e-07,0.8135692,1.516196,0.5810144
-1168943189.0,1.298967e-07,0.8409758,1.535439,0.5762218
-1168942785.0,1.394438e-07,0.866404,1.510573,0.5582519
-1168942349.0,1.503088e-07,0.8560458,1.469104,0.5588616
-1168941947.0,1.492083e-07,0.8587266,1.487618,0.5596987
-1168941545.0,1.588897e-07,0.8648564,1.51818,0.5598539
-1168941143.0,1.76272e-07,0.867202,1.530691,0.5549931
-1168940668.0,1.837708e-07,0.8737978,1.559722,0.5666355
-1168940259.0,1.972471e-07,0.882782,-1.539329,0.5776041
-1168939851.0,1.989598e-07,0.8820524,-1.536677,0.5777685
-1168939449.0,1.967265e-07,0.8762954,-1.546863,0.5718559
-1168938981.0,1.974877e-07,0.8678582,1.542903,0.5742837
-1168938580.0,1.883847e-07,0.866114,1.544115,0.5627893
-1168938181.0,1.96817e-07,0.8674272,1.513961,0.5537492
-1168937716.0,2.077987e-07,0.8724834,1.510452,0.5612747
-1168937317.0,2.18698e-07,0.8781398,1.537912,0.5598662
-1168936851.0,2.191617e-07,0.8838022,1.525953,0.5475105
-1168936451.0,2.318439e-07,0.8778176,1.51106,0.5361657
-1168936051.0,2.344894e-07,0.8770838,1.498119,0.5402782
-1168935651.0,2.259671e-07,0.873812,1.489961,0.5474574
-1168935184.0,2.13942e-07,0.8639954,1.47737,0.5633416
-1168934784.0,2.079697e-07,0.86631,1.464552,0.5749916
-1168934385.0,1.882491e-07,0.8565286,1.456755,0.5919258
-1168933919.0,1.922552e-07,0.8485384,1.436068,0.6056501
-1168933519.0,1.808671e-07,0.840129,1.427341,0.6076944
-1168933118.0,1.635657e-07,0.8185987,1.408901,0.617234
-1168932651.0,1.617871e-07,0.8153221,1.43552,0.6106075
-1168932250.0,1.605266e-07,0.8216911,1.43841,0.6136261
-1168931850.0,1.566771e-07,0.8264963,1.46057,0.6058142
-1168931451.0,1.512637e-07,0.8238586,1.470426,0.6105671
-1168930985.0,1.520238e-07,0.8316213,1.447033,0.6050663
-1168930582.0,1.434107e-07,0.8214895,1.456615,0.6006301
-1168930173.0,1.46564e-07,0.8115012,1.456209,0.5895714
-1168929764.0,1.500884e-07,0.8221028,1.433585,0.5996725
-1168929356.0,1.483501e-07,0.817276,1.407723,0.5988748
-1168928887.0,1.506475e-07,0.8144512,1.386462,0.6051774
-1168928486.0,1.614009e-07,0.8237182,1.348366,0.5982369
-1168928086.0,1.724017e-07,0.8316022,1.349459,0.6056475
-1168927620.0,1.788118e-07,0.8303212,1.344801,0.6088375
-1168927221.0,1.925117e-07,0.8258558,1.360734,0.6079974
-1168926822.0,2.062574e-07,0.8320599,1.332203,0.6019853
-1168926356.0,2.027142e-07,0.8175346,1.359441,0.6113735
-1168925958.0,2.096163e-07,0.8144997,1.367688,0.6085493
-1168925559.0,2.103294e-07,0.8077349,1.311957,0.5919904
-1168925093.0,2.233495e-07,0.7904381,1.294016,0.5550025
-1168924695.0,2.312306e-07,0.7823383,1.2708,0.5248825
-1168924294.0,2.473853e-07,0.7701813,1.282593,0.5099046
-1168923828.0,2.469122e-07,0.7457453,1.332537,0.5041265
-1168923429.0,2.432569e-07,0.7380948,1.368735,0.5071871
-1168923030.0,2.405893e-07,0.73843,1.430729,0.5397365
-1168922627.0,2.30813e-07,0.7437862,1.468704,0.5625353
-1168922151.0,2.170614e-07,0.7499019,1.542135,0.6008125
-1168921743.0,1.995071e-07,0.7614841,1.536326,0.626477
-1168921336.0,1.977695e-07,0.7844854,1.481699,0.6411236
-1168920930.0,1.94876e-07,0.7905206,1.438645,0.6520882
-1168920523.0,1.92515e-07,0.801426,1.405356,0.650777
-1168919978.0,2.026071e-07,0.8218048,1.390548,0.6520338
-1168919569.0,2.00324e-07,0.8319057,1.417154,0.6471844
-1168919160.0,2.042033e-07,0.8338304,1.426927,0.6389045
-1168918753.0,2.186189e-07,0.8450136,1.459535,0.6337087
-1168918347.0,2.196035e-07,0.8436856,1.499845,0.6285214
-1168917873.0,1.976428e-07,0.8109108,1.448581,0.628392
-1168917465.0,1.977767e-07,0.8071972,1.449613,0.6347884
-1168917056.0,2.036914e-07,0.8173014,1.448083,0.6424856
-1168916649.0,2.11411e-07,0.8152911,1.398927,0.6530979
