TimeStamp[us],power[w],dop,azimuthal[rad],ellipticity[rad]
-1169256486.0,4.984753e-08,0.8610686,-1.554802,0.0041599
-1169256016.0,5.317018e-08,0.8577068,-1.542596,0.01523787
-1169255613.0,5.611779e-08,0.866718,-1.534248,0.004676794
-1169255212.0,6.16605e-08,0.8836738,-1.532558,-0.003354604
-1169254744.0,6.444756e-08,0.887798,-1.542473,-0.004829588
-1169254342.0,6.539455e-08,0.8898572,-1.549921,-0.005852697
-1169253940.0,6.342531e-08,0.886589,1.567123,-0.006329409
-1169253539.0,6.182016e-08,0.8787798,1.557688,0.004964866
-1169253070.0,5.973881e-08,0.8782264,1.55858,0.01502678
-1169252665.0,5.837606e-08,0.8812516,1.561794,0.007606372
-1169252263.0,5.771161e-08,0.875529,-1.56919,0.0006915975
-1169251863.0,6.068684e-08,0.870172,-1.554994,0.004854725
-1169251394.0,6.237758e-08,0.8792758,-1.560228,0.005702101
-1169250993.0,6.906774e-08,0.8876028,1.565003,-0.000856781
-1169250589.0,7.883858e-08,0.8996516,1.557362,0.006953221
-1169250188.0,8.63043e-08,0.9045948,1.547928,0.01568834
-1169249720.0,9.454742e-08,0.910019,1.55289,0.01832814
-1169249319.0,1.003315e-07,0.9126194,1.553629,0.01748228
-1169248918.0,1.022673e-07,0.9137304,1.558845,0.01512613
-1169248448.0,1.032216e-07,0.9115422,1.563455,0.01295214
-1169248048.0,1.039144e-07,0.9105552,-1.568659,0.004203531
-1169247647.0,1.066472e-07,0.9121774,-1.5684,-2.168341e-05
-1169247178.0,1.083715e-07,0.9042046,-1.564028,-0.007947986
-1169246776.0,1.091249e-07,0.904195,-1.561025,-0.0138319
-1169246373.0,1.091983e-07,0.9081038,1.569382,-0.008465264
-1169245970.0,1.231078e-07,0.9108178,1.570417,-0.007145208
-1169245501.0,1.323406e-07,0.9227564,1.565301,-0.00685295
-1169245100.0,1.298862e-07,0.9253298,1.564014,-0.003342833
-1169244699.0,1.242871e-07,0.9249364,1.559993,-0.007542315
-1169244297.0,1.164671e-07,0.923031,1.565691,-0.005873176
-1169243828.0,1.035449e-07,0.9205892,1.567105,-0.004264584
-1169243426.0,1.01536e-07,0.9229426,1.557903,0.005364601
-1169243024.0,9.742336e-08,0.9198782,1.557289,0.01309723
-1169242556.0,9.397606e-08,0.9156684,1.554311,0.0114002
-1169242155.0,9.32713e-08,0.9141756,1.549735,0.01553993
-1169241753.0,8.723532e-08,0.9064406,1.547245,0.01698312
-1169241352.0,8.482036e-08,0.9011124,1.556318,0.0153583
-1169240884.0,8.990266e-08,0.903138,1.558258,0.006354424
-1169240484.0,9.299572e-08,0.9101488,1.553144,-0.0006706665
-1169240081.0,9.295172e-08,0.910224,1.559934,0.003877255
-1169239611.0,9.318976e-08,0.9094274,1.558786,-0.001464112
-1169239208.0,8.96811e-08,0.9049484,1.562192,-0.02017482
-1169238807.0,8.122692e-08,0.8980256,1.558712,-0.02223973
-1169238406.0,8.381167e-08,0.8947392,1.562872,-0.02848979
-1169237937.0,7.260891e-08,0.8832708,1.569513,-0.02646682
-1169237535.0,7.347597e-08,0.8806342,1.562802,-0.03393877
-1169237132.0,7.645795e-08,0.8888144,1.560953,-0.01655357
-1169236663.0,8.242368e-08,0.8914344,1.551936,-0.00887516
-1169236256.0,9.047004e-08,0.9037368,1.561807,0.01354459
-1169235786.0,9.125232e-08,0.905508,1.563742,0.005848151
-1169235384.0,9.3815e-08,0.9040176,-1.57052,0.0005608401
-1169234983.0,9.202184e-08,0.9032516,-1.563917,-0.002639731
-1169234515.0,8.177598e-08,0.8935232,-1.563775,0.002305051
-1169234112.0,7.857144e-08,0.8911188,-1.565946,-0.01942685
-1169233709.0,8.209225e-08,0.899388,1.562202,-0.01966423
-1169233306.0,8.415752e-08,0.9032002,1.53904,-0.01606445
-1169232835.0,9.034756e-08,0.9037682,1.545117,-0.009104188
-1169232434.0,9.016574e-08,0.8995764,1.545773,-0.007708112
-1169232032.0,8.796882e-08,0.894835,1.55708,-0.01079794
-1169231630.0,8.83458e-08,0.8980256,1.567596,-0.008613982
